ID Cliente;Cliente;Valor Contrato Mensal
1;Teixeira Gonçalves;540
2;Souza Santos;1260
3;Emídio Alves;3195
4;Santos Costa;2520
5;Do Monteiro;3510
6;Soares Lobo;2340
7;Maria Dantas;1350
8;Peres Koch;3060
9;Pacheco Guimaraes;1125
10;Felipe Sobanski;3285
11;Gonçalves Machado;4365
12;Augusto Oliva;4185
13;Vitorino Pallotta;1845
14;Silva Quintana;4500
15;Nogueira Wancelotti;540
16;Antunes Amaro;1800
17;Alberto Martins;3780
18;Viana Blanquez;855
19;Henrique Santos;450
20;Braga Andrade;2115
21;Ambrósio Wassem;4140
22;Gonçalves Alves;2070
23;Elisa Cordeiro;3780
24;Batista Pretti;3150
25;Lopes Araújo;3645
26;Alves Cardozo;4455
27;Peres Magalhães;3645
28;Pontes Quintana;4005
29;Malacarne Condé;1035
30;Bugan Rodrigues;3285
31;Mahmoud Cotta;3555
32;Fernandes Silveira;2070
33;Dos Goncalves;3825
34;Hugo Grippe;1890
35;Do Therezo;2565
36;Luiza Andrade;3690
37;Kellen Porto;2700
38;Rodrigo Rossini;2835
39;Arruda Faccin;2385
40;Belmonte Pires;2835
41;Fernando Walter;900
42;Bergamo Ferreira;2340
43;Vieira Feliciano;1485
44;Gomes Arruda;1260
45;Leal Favoretto;3420
46;Colaço Nohara;2745
47;Inês Simões;3375
48;Martins Barbosa;3870
49;Bonardo Lemos;1260
50;Freitas Oliveira;3015
51;Lopes Braun;2745
52;Santos Diniz;1890
53;Francisco Mayer;675
54;Ferreira Ribeiro;2205
55;Nunes Wiener;4410
56;Gonzaga Oliva;2835
57;Vellado Fernandes;4365
58;Carbone Figueira;2565
59;Luis Junqueira;1755
60;Campos Ferreira;4365
61;Vellado Santana;4005
62;Batista Martins;540
63;Pedro Gonçalves;1395
64;Stivanin Resende;4095
65;Vitor Junqueira;1035
66;Oliveira Grecco;1170
67;Pereira Mello;4320
68;Fernandes ;1935
69;Silva Amaral;2610
70;De Valverde;3105
71;Barboza Gonçalves;3915
72;Pereira Araújo;3735
73;Jacinto Gonçalves;450
74;Hugo Feliciano;2970
75;Serra Almeida;1890
76;Celeste Costa;4365
77;Maria Vanin;2835
78;Eduardo Resende;1710
79;Bugan Ribeiro;1215
80;Martins Vazquez;4275
81;Carvalho Santos;3015
82;Mendes Neves;1440
83;Emídio Peres;2475
84;Henrique Felipe;4050
85;Coval Ferreira;1935
86;Maria Battaglini;585
87;Drummond Bueno;2070
88;Felipe Figueira;3195
89;Minhoto Granuzzi;2475
90;Roberto Gonçalves;1440
91;Vita Cordeiro;2520
92;Angelo Bettoni;2295
93;Manoel Soares;2790
94;Formaggini Lemos;2475
95;Miranda Wiener;3825
96;De Wille;3465
97;De Goncalves;3105
98;Lopes Lellis;810
99;Figueira Neto;4095
100;Barbosa Moreira;3780
101;Rodrigues Mendes;4365
102;Lima Peres;2925
103;Fonseca Borges;765
104;Terra Dias;3690
105;Silva Bragard;1935
106;Da Grecco;2970
107;Barbosa Noronha;1890
108;Marcos Schmidt;2295
109;Godoy Sberci;3555
110;Fernando Pereira;585
111;De Lellis;1260
112;Inês Felipe;1485
113;De Dourado;1890
114;De Santos;2790
115;Souza Barbosa;2700
116;Sales Silva;3420
117;Flores Gonçalves;1440
118;Guimarães Walter;2700
119;Gomes Oliveira;4410
120;Oliveira Amaral;4185
121;Rebouças Canicali;1305
122;Emanuel Custódio;2115
123;Silva Gonçalves;585
124;Fernandes Andrade;495
